dataset,method,parameter,count,runtime_mean_sec,runtime_median_sec,runtime_min_sec,runtime_max_sec,memory_mean_gb,memory_median_gb,memory_min_gb,memory_max_gb
bprna,CapR,50,24901,0.0776,0.0200,0.0000,4.7600,0.0050,0.0047,0.0041,0.0252
bprna,CapR,100,24901,0.2243,0.0400,0.0000,15.3200,0.0057,0.0052,0.0042,0.0433
bprna,CapR,200,24901,0.4979,0.0400,0.0000,39.0900,0.0071,0.0060,0.0043,0.0796
bprna,CapR,300,24901,0.7848,0.0400,0.0000,66.4100,0.0085,0.0068,0.0043,0.1159
bprna,CapR,400,24901,1.0980,0.0400,0.0000,97.2100,0.0098,0.0077,0.0043,0.1523
bprna,CapR,500,24901,1.4366,0.0400,0.0000,131.6300,0.0112,0.0083,0.0044,0.1889
bprna,CapR-cubic,,33,11.1312,3.8900,0.0200,59.9400,0.0649,0.0433,0.0027,0.2422
bprna,LinearCapR,50,24901,0.1371,0.0300,0.0000,7.0100,0.0069,0.0051,0.0035,0.1387
bprna,LinearCapR,100,24901,0.2533,0.0400,0.0000,16.6400,0.0089,0.0053,0.0035,0.2663
bprna,LinearCapR,200,24901,0.4870,0.0400,0.0000,40.3100,0.0115,0.0053,0.0035,0.4785
bprna,LinearCapR,300,24901,0.8213,0.0300,0.0000,77.8800,0.0133,0.0053,0.0035,0.6468
bprna,LinearCapR,400,24901,1.0523,0.0300,0.0000,108.0200,0.0154,0.0053,0.0035,0.8614
bprna,LinearCapR,500,24901,1.3553,0.0300,0.0000,143.9300,0.0168,0.0053,0.0035,1.0171
rnacentral,CapR,50,20,156.0185,68.1800,4.5700,720.9100,0.8798,0.3665,0.0289,4.4106
rnacentral,CapR,100,20,514.5935,224.9900,14.3800,2358.2600,1.6385,0.6803,0.0504,8.2281
rnacentral,CapR,200,20,1378.8540,607.3300,38.7500,6313.0000,3.1559,1.3084,0.0932,15.8625
rnacentral,CapR,300,20,2434.3325,1071.2100,67.9800,11113.0000,4.6732,1.9364,0.1360,23.4969
rnacentral,LinearCapR,50,20,252.5990,111.0550,7.4000,1186.7900,5.6652,2.3923,0.1588,26.7873
rnacentral,LinearCapR,100,20,609.7115,267.1000,16.9600,2843.1500,10.5625,4.6035,0.2999,49.6769
rnacentral,LinearCapR,200,20,1501.8285,656.5300,40.1900,6771.0000,19.9781,8.6865,0.5400,92.1726
rnacentral,LinearCapR,300,20,2961.2890,1397.7700,84.0100,12787.0000,28.0131,12.2159,0.7813,127.8809
