,CapR_span100,CapR_span200,CapR_span300,CapR_span400,CapR_span50,CapR_span500,LinCapR_turner1999_b100,LinCapR_turner1999_b200,LinCapR_turner1999_b300,LinCapR_turner1999_b400,LinCapR_turner1999_b50,LinCapR_turner1999_b500,LinCapR_turner2004_b100,LinCapR_turner2004_b200,LinCapR_turner2004_b300,LinCapR_turner2004_b400,LinCapR_turner2004_b50,LinCapR_turner2004_b500
Bulge,0.6814,0.6988,0.6988,0.6996,0.6501,0.7017,0.6906,0.6953,0.6957,0.6968,0.6799,0.6971,0.7079,0.7107,0.7114,0.7115,0.6998,0.7117
Exterior,0.8281,0.8469,0.8550,0.8606,0.7661,0.8674,0.8812,0.8828,0.8836,0.8839,0.8785,0.8842,0.8830,0.8839,0.8847,0.8851,0.8806,0.8852
Hairpin,0.7901,0.8035,0.8052,0.8060,0.7488,0.8066,0.8014,0.8036,0.8048,0.8053,0.7962,0.8051,0.8024,0.8030,0.8032,0.8033,0.7986,0.8035
Internal,0.7139,0.7312,0.7321,0.7329,0.6647,0.7342,0.7262,0.7291,0.7295,0.7302,0.7181,0.7304,0.7413,0.7433,0.7437,0.7437,0.7343,0.7440
Multibranch,0.7585,0.7946,0.8029,0.8062,0.6714,0.8103,0.7825,0.7958,0.7986,0.8018,0.7586,0.8031,0.8119,0.8205,0.8242,0.8255,0.7968,0.8267
Stem,0.7661,0.7795,0.7810,0.7819,0.7148,0.7828,0.7770,0.7789,0.7792,0.7796,0.7712,0.7796,0.7852,0.7865,0.7868,0.7867,0.7801,0.7869
MacroAverage,0.7563,0.7757,0.7791,0.7812,0.7027,0.7838,0.7765,0.7809,0.7819,0.7830,0.7671,0.7833,0.7886,0.7913,0.7923,0.7926,0.7817,0.7930
Stem_LongRange_T150,0.6307,0.6761,0.7053,0.7197,0.6167,0.7312,0.7303,0.7367,0.7358,0.7357,0.7127,0.7348,0.7293,0.7358,0.7355,0.7344,0.7077,0.7344
Stem_LongRange_T300,0.6335,0.6487,0.6540,0.6819,0.6211,0.7032,0.7142,0.7203,0.7185,0.7188,0.6972,0.7173,0.7138,0.7189,0.7168,0.7157,0.6931,0.7157
Stem_LongRange_T500,0.6290,0.6427,0.6506,0.6491,0.6151,0.6483,0.7153,0.7186,0.7182,0.7192,0.7001,0.7184,0.7211,0.7232,0.7211,0.7203,0.7022,0.7202
